"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
358,21,6427.6,4071.6,120.5,642.4,34.2,6.9,11.9
359,21,7462.2,9000.2,241.6,306,27.5,7.6,71.7
360,21,9221.3,7830.2,176.8,226.4,28.8,6.7,49
361,21,9651.4,2014.7,162.2,511.8,28.8,7.1,22.2
362,21,9744.8,5165.4,170.1,169.4,28.8,6.2,56
363,21,13574.4,8432.8,198,327.2,28,7.6,47.6
364,21,14045,3414.9,158.9,656,30.9,8.7,20
365,21,16272.5,7569.2,167.3,846.6,31.4,9.5,18.6
366,21,21726.8,10684.1,90.3,92,27.9,6.9,37.7
367,21,23823.3,10311,156.7,161.7,25.3,7,56.3
368,21,25304.7,4804.8,217.5,353.8,24.2,6.7,47.2
369,21,32749.1,17244.2,174.5,349.4,29.3,6.5,32.2
370,22,1701.3,2357.6,150.7,184.7,30.5,5.8,40.6
371,22,1986.8,3980.5,142.9,638.4,31.8,8.3,16.8
372,22,5501.9,1668.8,157.4,202.8,30.6,6.1,41.7
373,22,6437.1,4066.4,130,736.5,30.1,8.6,13.4
374,22,7522,9046.8,228.4,345.1,25.2,6.7,52.7
375,22,7912.3,2930.5,165.8,195.7,29.3,5.4,43
376,22,9380.6,7722.1,152.2,192.1,26.2,6.7,44.2
377,22,9617.5,2004.9,134.2,451.8,31.1,8.3,20.2
378,22,9743.6,5203.8,87.8,90.1,30.1,7.7,40
379,22,13652.5,8438.6,146.4,217.6,30.9,6.5,36.5
380,22,14043.7,3430.7,120.4,537.2,34.7,9,15.7
381,22,25277.8,4782.8,183.8,352.5,26.4,5.7,31.6
382,22,30662.9,12267.3,208.9,229.2,26.6,6.4,62.9
383,22,32778,17342.6,194.4,455.2,27.6,6.7,31.3
384,23,1833.4,2578,184.2,358.7,25.9,7.4,38
385,23,1992,4114.7,150.9,854.8,30.7,8.7,14.9
386,23,5455.4,1607.1,183.2,360.8,28.7,8.2,40.5
387,23,6404.4,4035.4,129.6,707.1,33.6,7.6,12.9
388,23,7990.4,2939.6,112.1,194.4,30.3,6.9,27.7
389,23,9624.5,1998.5,134.2,356.3,32.5,6.7,21.5
390,23,9721.9,5062.1,142,137.7,29,7,54.9
391,23,13637.9,8319.1,114,160.6,29.8,7.4,35
392,23,14078.7,3357.6,139.4,631.9,30.2,7.7,15.7
393,23,16256.7,7716.3,146.8,182.2,30.3,7.9,49.7
394,23,21884.9,1902.1,229.6,301.9,24.7,6.3,57
395,23,25204,4853.7,132.9,221.4,25.6,6.3,30
396,23,27956.9,11475.4,101.3,102.2,28.2,5.9,36.6
397,23,30848.9,12359.2,273.4,381.4,22.7,6.5,64.1
398,24,1820.5,2635,146.3,281.2,28.7,7.2,31.5
399,24,1925.2,3995,167.7,656.7,30.9,9.2,22.5
400,24,5473.6,1715.8,160.9,292.9,29.4,6.2,32
401,24,6417.4,4068.6,142.7,794.3,31.2,7.7,13.6
402,24,7936.4,2943.6,110.5,113.7,28.5,6.2,39.5
403,24,9366.9,7749.6,162.4,174.8,30.1,7.7,60.1
404,24,9644.5,1990.1,151.3,478.4,30.5,8.2,23.2
405,24,14130.6,3407.3,138.6,640.8,31.4,8.7,16.5
406,24,23851.6,10264,160.6,142,27.9,8.1,74.6
407,24,25261.6,4858.9,209.6,347.8,25.3,6.8,45.7
408,24,30788.9,12252.8,185.1,199.7,28.1,6.9,61.3
409,24,32745,17363.7,210.4,685,26.5,6.5,24.9
410,25,1834.3,2630.9,153.9,317,28.6,7.5,31.5
411,25,1881.6,4056.7,138,654.8,31.6,7.2,14.4
412,25,5491.2,1684.6,166.9,189.8,28.8,5.9,47.2
413,25,6425.6,4060.2,146.2,855.9,29.8,8.2,13.7
414,25,7856.5,2904,141.6,252.6,29.9,6.2,29.4
415,25,9212.9,7743.1,127.4,250.9,28.6,7.5,28.7
416,25,9630.3,2020.7,159.7,445.5,26.4,6.9,23.7
